Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 48,Question 49,Question 50,Question 51,Question 52,Question 53,Question 54,Question 55,Question 56,Question 57,Question 58,Question 59,Question 60,Question 61,Question 62,Question 63,Question 64,Question 65,Question 66,Question 67,Question 68,Question 69,Question 70,Question 71,Question 72,Question 73,Question 74,Question 75,Question 76,Question 77,Question 78,Question 79,Question 80,Question 81,Question 82,Question 83,Question 84,Question 85,Question 86,Question 87,Question 88,Question 89,Question 90,Question 91,Question 92,Question 93,Question 94,Question 95,Question 96,Question 97,Question 98,Question 99,Question 100,Question 101,Question 102,Question 103,Question 104,Question 105,Question 106,Question 107,Question 108,Question 109,Question 110,Question 111,Question 112,Question 113,Question 114,Question 115,Question 116,Question 117,Question 118
30,Female,United States of America,New York,No,Yes,No,6-25,No,I don't know,I don't know,No,Yes,No,No,No,Very difficult,Maybe,Yes,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of my previous employers,No,Somewhat open,Maybe,Maybe,Maybe,No,Not applicable to me,Sometimes,United States of America,New York,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,"Yes, all of them",Some of them,Some of my previous employers,Some did,Some of them,"Yes, I think it would","Yes, I think they would",nan,Post-traumatic Stress Disorder,Back-end Developer,Sometimes
21,Male,United States of America,Tennessee,No,Yes,Yes,More than 1000,Yes,No,I don't know,No,nan,No,No,I don't know,Somewhat difficult,No,No,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",Yes,Very open,nan,Yes,Yes,Yes,Sometimes,Often,United States of America,Tennessee,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,"Yes, all of them",None of them,"No, at none of my previous employers",I don't know,None of them,"Yes, I think it would","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Other,Sometimes
21,Male,United States of America,Massachusetts,No,I don't know,Yes,More than 1000,No,I don't know,I don't know,Maybe,Yes,I am not sure,No,Yes,Neither easy nor difficult,No,No,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of my previous employers,Yes,Somewhat not open,No,Yes,Maybe,Yes,Rarely,Often,United States of America,New York,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,Some of them,Some of my previous employers,Some did,None of them,"Yes, I think it would",Maybe,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",Other,Sometimes
29,Male,Germany,nan,Yes,No,No,nan,nan,nan,nan,Maybe,nan,nan,nan,nan,nan,nan,nan,Yes,"Yes, I know several",Yes,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of my previous employers,Yes,Somewhat open,nan,No,No,No,Not applicable to me,Not applicable to me,Germany,nan,Not applicable to me,Not applicable to me,Not applicable to me,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not applicable to me,Some of them,Some of them,Some of my previous employers,I don't know,None of them,"Yes, I think it would",Maybe,nan,nan,DevOps/SysAdmin,Sometimes
46,Male,United States of America,Missouri,No,No,No,More than 1000,No,Yes,Yes,Maybe,Yes,I am not sure,Yes,Yes,Somewhat easy,No,No,nan,nan,No,nan,nan,nan,nan,nan,nan,Yes,Somewhat open,Maybe,No,No,No,Not applicable to me,Not applicable to me,United States of America,Missouri,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,"Yes, I think it would","Yes, I think they would",nan,nan,DevOps/SysAdmin,Sometimes
28,Male,United States of America,California,No,Yes,Yes,500-1000,Yes,Yes,I don't know,Maybe,nan,Yes,Yes,Yes,Somewhat easy,Yes,Yes,nan,nan,Yes,Some did,N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,Yes,Very open,No,Yes,Yes,Yes,Sometimes,Often,United States of America,California,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,Some of my previous employers,Some did,None of them,Maybe,"No, I don't think they would",Attention Deficit Hyperactivity Disorder,nan,Supervisor/Team Lead,Sometimes
26,nan,United States of America,Pennsylvania,No,Yes,Yes,100-500,No,Yes,Yes,No,Yes,No,No,No,I don't know,No,No,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,No,"No, at none of my previous employers",No,Somewhat not open,Yes,Yes,Yes,Yes,Often,Often,United States of America,Pennsylvania,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,nan,nan,"Yes, all of them","Yes, all of them",Some of my previous employers,None did,Some of them,"Yes, I think it would","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Support,Never
37,Female,United States of America,Connecticut,Yes,Yes,Yes,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,Yes,I know some,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of my previous employers,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Sometimes,Sometimes,United States of America,Connecticut,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,26-50%,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,I'm not sure,No,Some of them,Some of them,Some of my previous employers,None did,"Yes, all of them","Yes, I think it would","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Supervisor/Team Lead,Always
44,Male,United States of America,Ohio,No,No,No,More than 1000,Yes,Yes,Yes,No,nan,I am not sure,I don't know,Yes,Neither easy nor difficult,No,No,nan,nan,Yes,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,"No, at none of my previous employers",Maybe,Not applicable to me (I do not have a mental illness),Maybe,No,No,No,Not applicable to me,Not applicable to me,United States of America,Ohio,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,Some of them,Some of them,"No, at none of my previous employers",I don't know,None of them,"Yes, I think it would","Yes, I think they would",nan,nan,Support,Sometimes
45,Female,United States of America,California,Yes,Yes,Yes,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,No,I know some,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Some of my previous employers,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Rarely,Often,United States of America,California,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,26-50%,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,I'm not sure,I'm not sure,"Yes, all of them",None of them,Some of my previous employers,None did,"Yes, all of them","Yes, I think it would","Yes, I think they would","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,One-person shop,Always
35,Female,United States of America,Massachusetts,No,I don't know,Yes,1-5,Yes,I don't know,I don't know,Maybe,nan,I am not sure,I don't know,No,Somewhat easy,Yes,Yes,nan,nan,Yes,Some did,I was aware of some,I don't know,Some did,Sometimes,"No, at none of my previous employers",Yes,Neutral,nan,No,No,No,Not applicable to me,Not applicable to me,United States of America,Massachusetts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,None of them,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,nan,nan,Front-end Developer,Always
39,Male,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,No,nan,Yes,Yes,Yes,I don't know,Maybe,Yes,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always","No, at none of my previous employers",Yes,Somewhat open,nan,Yes,Yes,Yes,Sometimes,Sometimes,United States of America,Michigan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,"No, at none of my previous employers",None did,None of them,Maybe,"No, I don't think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Back-end Developer,Never
37,Female,United States of America,Connecticut,No,No,Yes,More than 1000,No,I don't know,I don't know,Maybe,Yes,I am not sure,I don't know,I don't know,I don't know,No,Maybe,nan,nan,Yes,I don't know,N/A (not currently aware),None did,Some did,I don't know,Some of my previous employers,Yes,Not applicable to me (I do not have a mental illness),nan,Yes,No,Yes,Not applicable to me,Not applicable to me,United States of America,Connecticut,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,I don't know,Some of them,Some of my previous employers,Some did,None of them,"Yes, I think it would",Maybe,nan,nan,Back-end Developer,Sometimes
35,Male,United States of America,Florida,No,No,No,100-500,No,No,I don't know,Maybe,Yes,No,No,No,Neither easy nor difficult,No,No,nan,nan,Yes,I don't know,I was aware of some,None did,None did,I don't know,Some of my previous employers,Yes,Somewhat not open,Maybe,No,No,No,Not applicable to me,Not applicable to me,United States of America,Florida,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,None of them,Some of them,Some of my previous employers,None did,None of them,"Yes, I think it would","Yes, I think they would",nan,nan,Dev Evangelist/Advocate,Sometimes
29,Female,United States of America,New York,No,Yes,Yes,More than 1000,Yes,Yes,Yes,No,nan,Yes,No,I don't know,Somewhat difficult,No,No,nan,nan,No,nan,nan,nan,nan,nan,nan,Maybe,Not open at all,Maybe,Yes,Yes,Yes,Rarely,Not applicable to me,United States of America,New York,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,nan,nan,nan,nan,nan,"Yes, I think it would","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Supervisor/Team Lead,Never
49,Female,United States of America,California,Yes,I don't know,Yes,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,Yes,"No, I don't know any",Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",No,Somewhat not open,Yes,Yes,No,Yes,Sometimes,Often,United States of America,California,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,26-50%,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not applicable to me,"Yes, all of them",Some of them,"No, at none of my previous employers",None did,None of them,"Yes, I think it would","Yes, I think they would",nan,nan,Other,Never
21,Male,United States of America,Virginia,No,I don't know,Yes,26-100,Yes,I don't know,I don't know,No,nan,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,nan,nan,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Maybe,Very open,nan,Yes,Yes,Yes,Rarely,Often,United States of America,Virginia,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,None of them,Some of my previous employers,Some did,None of them,"Yes, I think it would",Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Back-end Developer,Sometimes
26,Female,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,No,nan,Yes,No,Yes,Very difficult,Maybe,Maybe,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of my previous employers,Yes,Somewhat open,No,Yes,Maybe,Yes,Sometimes,Often,United States of America,Michigan,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,I don't know,None of them,Some of my previous employers,Some did,None of them,Maybe,"No, I don't think they would",nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Supervisor/Team Lead,Sometimes
35,Male,Germany,nan,No,Yes,Yes,100-500,Yes,Yes,Yes,No,nan,I am not sure,Yes,No,Somewhat easy,Yes,Yes,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,No,Neutral,nan,Maybe,Maybe,Yes,Sometimes,Often,Germany,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,None of them,None of them,Some of my previous employers,Some did,None of them,Maybe,"No, I don't think they would",nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",Supervisor/Team Lead,Never
56,Male,United States of America,Missouri,No,No,Yes,100-500,No,Yes,I don't know,No,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,nan,nan,Yes,"No, none did","No, I only became aware later",None did,None did,I don't know,"No, at none of my previous employers",No,Somewhat open,Yes,Yes,Yes,Yes,Never,Often,United States of America,Missouri,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,Some of them,"No, at none of my previous employers",None did,Some of them,"No, it has not","No, I don't think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Supervisor/Team Lead,Sometimes
53,Female,United States of America,Oregon,Yes,Yes,Yes,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,Yes,"Yes, I know several",Yes,Some did,"No, I only became aware later",None did,None did,I don't know,"No, at none of my previous employers",Maybe,Somewhat not open,Maybe,Yes,Yes,Yes,Rarely,Often,United States of America,Oregon,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,1-25%,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,I don't know,Some of them,Some of my previous employers,None did,"Yes, all of them","Yes, it has","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Other,Always
48,Female,United States of America,Colorado,Yes,Yes,Yes,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,Yes,I know some,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,"No, at none of my previous employers",Maybe,Somewhat not open,Maybe,Yes,Yes,Yes,Sometimes,Often,United States of America,Colorado,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,26-50%,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,"Yes, all of them",Some of them,"No, at none of my previous employers",Some did,Some of them,"Yes, I think it would","Yes, they do","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Executive Leadership,Sometimes
24,Male,United Kingdom,nan,No,No,No,26-100,Yes,Not eligible for coverage / NA,I don't know,Maybe,nan,I am not sure,No,No,Somewhat easy,Yes,Yes,nan,nan,No,nan,nan,nan,nan,nan,nan,Yes,Not applicable to me (I do not have a mental illness),nan,No,No,No,Not applicable to me,Not applicable to me,United Kingdom,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,"Yes, I think it would","No, I don't think they would",nan,nan,Back-end Developer,Never
37,Male,Ireland,nan,No,No,No,More than 1000,Yes,No,I don't know,No,nan,I am not sure,No,No,Somewhat easy,No,No,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",No,Not open at all,nan,Yes,Yes,No,Sometimes,Often,Ireland,nan,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,I don't know,Some of them,"No, at none of my previous employers",I don't know,None of them,"Yes, it has",Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Back-end Developer,Never
27,Female,United States of America,Pennsylvania,No,Yes,Yes,26-100,No,No,I don't know,No,Yes,Yes,No,No,Very difficult,Yes,Maybe,nan,nan,No,nan,nan,nan,nan,nan,nan,Maybe,Somewhat open,No,Yes,Yes,Yes,Sometimes,Often,United States of America,Pennsylvania,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Designer,Never
39,Female,United States of America,Pennsylvania,No,Yes,Yes,1-5,Yes,I don't know,I don't know,No,nan,No,No,I don't know,Somewhat difficult,Maybe,Yes,nan,nan,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",Maybe,Very open,nan,Yes,Yes,Yes,Sometimes,Sometimes,United States of America,Pennsylvania,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,"No, at none of my previous employers",I don't know,None of them,Maybe,"No, I don't think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Back-end Developer,Sometimes
31,Male,Finland,nan,Yes,No,No,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,No,"No, I don't know any",Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",Maybe,Not applicable to me (I do not have a mental illness),nan,No,No,No,Not applicable to me,Not applicable to me,Finland,nan,Not applicable to me,Not applicable to me,Unsure,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not applicable to me,Some of them,Some of them,"No, at none of my previous employers",None did,None of them,"Yes, I think it would","Yes, I think they would",nan,nan,One-person shop,Sometimes
34,Male,United States of America,Indiana,No,Yes,Yes,100-500,Yes,Yes,I don't know,No,nan,Yes,No,I don't know,Very difficult,No,No,nan,nan,Yes,Some did,"No, I only became aware later",Some did,Some did,I don't know,"No, at none of my previous employers",Maybe,Somewhat open,Yes,Yes,Yes,No,Not applicable to me,Often,United States of America,Colorado,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,"Yes, all of them",Some of them,Some of my previous employers,None did,Some of them,"Yes, I think it would","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Back-end Developer,Always
33,Male,United Kingdom,nan,No,Yes,Yes,More than 1000,No,No,Yes,Maybe,Yes,nan,No,Yes,Very easy,Yes,Yes,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,Yes,Somewhat open,No,Yes,Yes,Yes,Rarely,Sometimes,United Kingdom,nan,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,Some of my previous employers,Some did,None of them,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Front-end Developer,Sometimes
22,Male,United Kingdom,nan,No,I don't know,No,1-5,Yes,No,No,No,nan,No,No,No,Somewhat difficult,No,No,nan,nan,No,nan,nan,nan,nan,nan,nan,Maybe,Not open at all,nan,Yes,Yes,No,Sometimes,Sometimes,United Kingdom,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,"Yes, I think it would","Yes, I think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Front-end Developer,Never
25,Female,United Kingdom,nan,No,I don't know,No,6-25,Yes,Not eligible for coverage / NA,I don't know,Maybe,nan,nan,No,No,Somewhat easy,Maybe,Maybe,nan,nan,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Maybe,Not applicable to me (I do not have a mental illness),nan,No,No,No,Not applicable to me,Not applicable to me,United Kingdom,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,I don't know,None of them,Some of my previous employers,I don't know,None of them,Maybe,Maybe,nan,nan,Front-end Developer,Sometimes
34,Male,United Kingdom,nan,No,No,No,More than 1000,No,I don't know,I don't know,Maybe,Yes,No,No,No,Very easy,Maybe,Maybe,nan,nan,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,No,Some of my previous employers,Maybe,Neutral,nan,No,No,No,Not applicable to me,Not applicable to me,United Kingdom,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,Some of my previous employers,Some did,Some of them,Maybe,"No, I don't think they would",nan,nan,Front-end Developer,Never
